"NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"Dario Saric","Gol","F-C","30","64","17.2","19.5","16.7","93","0.849","191","0.56","197","0.376","0.562","0.6","8","4.4","2.3","0.5","0.2","1.2","12.5","10.3","14.7","10.1","118.2","106.4"
"Nickeil Alexander-Walker","Min","F","25.6","82","23.4","14.8","12.4","65","0.8","203","0.517","335","0.391","0.56","0.578","8","2","2.5","0.8","0.5","0.9","10","10.5","12.5","5.8","115.3","106.9"
"Sam Merrill","Cle","G","27.9","61","17.5","17.5","4.6","28","0.929","39","0.385","354","0.404","0.584","0.598","8","2","1.8","0.3","0.1","0.3","9.9","9.7","11.7","7","124.8","111.4"
"Malachi Flynn","Det","G","25.9","24","14.3","26","14","38","0.684","89","0.528","76","0.316","0.503","0.528","8","1.8","2.1","0.8","0.1","1.1","9.8","10.1","11.9","8.7","104.1","115"
"Kyle Lowry","Phi","G","38.1","23","28.4","12","19.1","33","0.848","46","0.522","89","0.404","0.578","0.615","8","2.8","4.6","0.9","0.3","1.4","10.8","12.6","15.4","6.6","123","111.1"
"Darius Bazley","Uta","F","23.8","6","23.7","12.1","19.2","12","0.833","21","0.762","8","0.25","0.655","0.7","8","4.5","0.8","1","1.2","1.2","12.5","8.8","13.3","5.2","124.2","121"
"Trayce Jackson-Davis","Gol","F","24.1","68","16.6","16.4","12.9","132","0.561","331","0.704","1","0","0.702","0.692","7.9","5","1.2","0.4","1.1","0.7","13","9.1","14.2","8.7","134.3","107.4"
"Jordan Nwora","Tor","F","25.6","34","15.6","22.3","15.9","42","0.833","122","0.557","95","0.347","0.541","0.573","7.9","3.4","1.3","0.6","0.4","1.2","11.4","9.2","12.6","8.4","104.8","114.6"
"Dante Exum","Dal","G","28.8","55","19.8","15","13.9","68","0.779","194","0.557","108","0.491","0.621","0.645","7.8","2.7","2.9","0.4","0.1","0.9","10.5","10.6","13.3","8","127.9","111.8"
"Markelle Fultz","Orl","G","25.9","43","21.2","18.8","13.3","33","0.697","308","0.487","18","0.222","0.479","0.492","7.8","3.2","2.8","1","0.3","1.2","11","10.6","13.8","7.8","105.7","107.4"
"Isaiah Hartenstein","Nyk","C-F","25.9","75","25.3","12","20.3","157","0.707","362","0.646","3","0.333","0.645","0.67","7.8","8.3","2.5","1.2","1.1","1.2","16.1","10.3","18.6","8.6","133.2","101.2"
"Jordan Hawkins","Nor","G","22","67","17.3","19.9","8.1","80","0.838","158","0.411","298","0.366","0.501","0.533","7.8","2.2","1","0.3","0.1","0.6","10","8.9","11.1","6","108.6","111.9"
"Precious Achiuwa","Tor","F","24.6","25","17.5","21.2","14.6","42","0.571","123","0.528","47","0.277","0.497","0.512","7.7","5.4","1.8","0.6","0.5","1.2","13.2","9.5","14.9","9.6","105.9","110.2"
"Nikola Jovic","Mia","F","20.9","46","19.5","17.1","13","47","0.702","118","0.525","163","0.399","0.568","0.583","7.7","4.2","2","0.5","0.3","0.9","11.8","9.6","13.8","8.2","113.2","103.9"
"RaiQuan Gray","San","F","24.8","3","13","19.5","5.6","0","0","10","0.7","7","0.429","0.676","0.676","7.7","2.3","2","0.3","0.3","0.3","10","9.7","12","10.1","135.5","121"
"Precious Achiuwa","Nyk","F","24.6","49","24.2","14","15.3","70","0.643","249","0.578","50","0.26","0.547","0.564","7.6","7.2","1.1","0.6","1.1","1.1","14.8","8.7","15.8","6.5","116.2","106"
"Cody Martin","Cha","F","28.5","28","26.9","16.1","17","33","0.606","129","0.426","86","0.314","0.444","0.46","7.5","3.9","3.7","1.1","0.6","1.6","11.4","11.3","15.1","7.1","96.6","116.2"
"Brice Sensabaugh","Uta","F","20.5","32","18.3","20.3","17.7","41","0.902","103","0.495","115","0.296","0.468","0.511","7.5","3.2","1.7","0.4","0.2","1.5","10.7","9.3","12.4","7.5","98.5","116.1"
"Toumani Camara","Por","F","23.9","70","24.8","13.8","16.1","99","0.758","266","0.523","172","0.337","0.516","0.547","7.5","4.9","1.2","0.9","0.5","1.2","12.4","8.8","13.7","5.7","109","110.7"
"Jaylen Nowell","Det","G","24.8","4","14.4","20.5","7.9","6","0.667","17","0.588","6","0.333","0.565","0.585","7.5","2.5","0.8","0.3","0.5","0.5","10","8.3","10.8","6.9","115.9","119.9"
"Royce O'Neale","Bro","F","30.9","49","24.5","13.9","13.6","22","0.682","60","0.483","265","0.366","0.537","0.544","7.4","4.5","2.8","0.7","0.6","1","11.9","10.2","14.7","7.4","112","108.4"
"Trey Jemison","Mem","C","24.4","23","24.9","13.6","20","25","0.84","136","0.551","0","0","0.551","0.582","7.4","5.8","1.2","0.5","1.2","1.5","13.3","8.6","14.4","6","110.6","106.5"
"Aleksej Pokusevski","Cha","F","22.3","18","19.2","17.6","13.2","37","0.757","61","0.475","44","0.364","0.505","0.552","7.4","4.4","1.7","0.8","0.7","0.9","11.8","9.1","13.5","7.9","111.4","116"
"Quentin Grimes","Nyk","G","23.9","45","20.2","15.3","6.8","34","0.706","74","0.486","212","0.363","0.53","0.543","7.3","2","1.2","0.7","0.1","0.5","9.2","8.4","10.4","5.1","115.2","110.1"
"Paul Reed","Phi","F","24.8","82","19.4","15.9","12.2","85","0.718","423","0.563","57","0.368","0.561","0.58","7.3","6","1.3","0.8","1","0.8","13.3","8.6","14.6","7.9","121.5","102.2"
"Jaden Hardy","Dal","G","21.8","73","13.6","24.9","11.5","76","0.776","255","0.447","224","0.362","0.492","0.517","7.3","1.8","1.5","0.3","0.1","0.8","9.1","8.8","10.5","7.9","102.9","111.4"
"Christian Braun","Den","G","23","82","20.2","15.7","10.2","134","0.694","319","0.498","164","0.384","0.525","0.554","7.3","3.7","1.6","0.5","0.4","0.7","11","8.9","12.7","6.9","115.8","108.6"
"Taylor Hendricks","Uta","F","20.4","40","21.4","13.7","10.1","29","0.793","100","0.55","140","0.379","0.56","0.578","7.3","4.6","0.8","0.7","0.8","0.7","11.9","8.1","12.7","5.6","115.8","113.2"
"Trey Lyles","Sac","F","28.4","58","20","14.4","10.6","70","0.7","102","0.578","219","0.384","0.576","0.596","7.2","4.4","1.2","0.3","0.3","0.7","11.7","8.5","12.9","6.7","119.9","111.2"
"Kevin Knox II","Det","F","24.7","31","18.1","16.6","10.6","22","0.909","92","0.598","94","0.33","0.546","0.57","7.2","2.4","0.7","0.4","0.2","0.7","9.6","7.9","10.4","5.1","109.1","114"
"Johnny Juzang","Uta","G","23.1","20","18.6","14.5","10.5","14","0.714","33","0.576","77","0.416","0.609","0.62","7.2","1.8","1.2","0.2","0.1","0.7","9","8.4","10.2","5.4","119.7","118.3"
"Evan Fournier","Det","G-F","31.5","29","18.7","18.6","9","34","0.794","86","0.512","115","0.27","0.45","0.482","7.2","1.9","1.6","0.9","0.2","0.7","9","8.7","10.6","6","99.9","113.7"
"Landry Shamet","Was","G","27.1","46","15.8","18.8","9.9","46","0.826","117","0.556","157","0.338","0.527","0.556","7.1","1.3","1.2","0.5","0.2","0.7","8.5","8.3","9.6","5.6","107.6","114.8"
"James Wiseman","Det","C","23","63","17.3","16.3","17.8","102","0.706","303","0.617","2","0","0.613","0.637","7.1","5.3","0.9","0.2","0.6","1","12.4","7.9","13.3","7.5","118.2","107.6"
"Naji Marshall","Nor","F","26.2","66","19","16.3","15","86","0.791","217","0.516","150","0.387","0.542","0.576","7.1","3.6","1.9","0.7","0.2","1","10.7","9","12.6","7.7","114.4","108"
"Jose Alvarado","Nor","G","26","56","18.4","17.3","10.4","52","0.673","138","0.464","207","0.377","0.525","0.54","7.1","2.3","2.1","1.1","0.3","0.7","9.4","9.2","11.5","7.1","112.3","106.7"
"Richaun Holmes","Was","F","30.5","17","18.7","14.8","12","26","0.846","85","0.565","3","0.333","0.563","0.608","7.1","6.1","0.6","0.5","0.6","0.7","13.2","7.7","13.8","6.3","123.5","108.3"
"Danilo Gallinari","Was","F","35.7","26","14.8","18.3","8.4","56","0.839","67","0.552","64","0.313","0.511","0.581","7","2.9","1.2","0.2","0.1","0.5","9.9","8.2","11.1","7.8","119","116.8"
"Javon Freeman-Liberty","Tor","G","24.5","22","18.3","17.4","16.7","36","0.917","82","0.549","42","0.238","0.484","0.547","7","3.2","1.8","0.5","0.2","1.1","10.1","8.8","12","7.5","107.3","115.2"
"Tosan Evbuomwan","Det","F","23.2","13","22.5","10.9","12.4","25","0.68","32","0.688","24","0.417","0.661","0.679","7","3.5","0.8","0.5","0.3","0.6","10.5","7.8","11.3","4.8","127.9","116.7"
"Gary Harris","Orl","G","29.6","54","24","11.7","9.4","45","0.756","92","0.598","205","0.371","0.569","0.587","6.9","1.7","1.6","0.9","0.3","0.6","8.6","8.5","10.2","4.4","119.5","109.1"
"Christian Wood","Lal","F","28.5","50","17.4","17.6","15.9","94","0.702","150","0.587","114","0.307","0.532","0.568","6.9","5.1","1","0.3","0.7","1","12","7.9","13","7.5","106.7","107.3"
"Killian Hayes","Det","G","22.7","42","24","15.1","15.3","50","0.66","209","0.455","74","0.297","0.452","0.474","6.9","2.8","4.9","0.9","0.5","1.2","9.7","11.8","14.6","7.6","106.4","114.7"
"Bones Hyland","Lac","G","23.6","37","14.6","24.8","14.9","23","0.783","116","0.457","135","0.326","0.474","0.49","6.9","1.5","2.5","0.7","0.1","1.2","8.4","9.4","10.9","8.1","99.8","109.1"
"Trendon Watford","Bro","F","23.4","63","13.6","21.1","16.8","97","0.794","243","0.564","68","0.397","0.571","0.611","6.9","3.1","1.3","0.4","0.3","1","9.9","8.1","11.2","8.9","114.8","105.3"
"Aaron Wiggins","Okc","G","25.3","78","15.7","16.4","12.9","71","0.789","251","0.598","126","0.492","0.645","0.664","6.9","2.4","1.1","0.7","0.2","0.7","9.3","8.1","10.4","6.7","124.9","109.4"
"Maozinha Pereira","Mem","F","23.6","7","17.4","15.7","12.4","10","0.7","22","0.591","13","0.385","0.586","0.609","6.9","5.3","0.3","0.9","0.6","0.7","12.1","7.1","12.4","5.1","116.2","106.3"
"Cedi Osman","San","F","29","72","17.6","15.1","10.9","52","0.673","163","0.601","221","0.389","0.591","0.601","6.8","2.5","1.7","0.5","0.2","0.7","9.3","8.4","10.9","7","115.5","112"
"Jonathan Isaac","Orl","F","26.5","58","15.8","16.7","8.6","82","0.72","174","0.598","112","0.375","0.584","0.61","6.8","4.5","0.5","0.7","1.2","0.5","11.3","7.3","11.8","6.3","123.7","104.4"
"Robert Williams III","Por","C-F","26.5","6","19.8","13.2","21","9","0.778","26","0.654","0","0","0.654","0.684","6.8","6.3","0.8","1.2","1.2","1.2","13.2","7.7","14","6.6","120.7","101.1"
"Day'Ron Sharpe","Bro","C","22.4","61","15.1","19.7","19.2","123","0.61","279","0.588","15","0.267","0.578","0.596","6.8","6.4","1.4","0.4","0.7","1.1","13.2","8.2","14.6","10.4","118.7","100.8"
"Julian Champagnie","San","F","22.8","74","19.8","14.4","12.4","92","0.815","125","0.504","277","0.365","0.534","0.57","6.8","2.8","1.4","0.6","0.6","0.8","9.6","8.2","11","6","110.9","115.4"
"Cason Wallace","Okc","G","20.4","82","20.6","12.9","9.2","37","0.784","208","0.572","234","0.419","0.602","0.612","6.8","2.3","1.5","0.9","0.5","0.5","9.1","8.3","10.6","5.6","122.1","109.9"
"Shake Milton","Det","G-F","27.5","4","15.8","20.5","10.2","3","0.667","17","0.471","9","0.333","0.481","0.494","6.8","4.5","1.5","0.5","0.3","0.8","11.3","8.3","12.8","9.1","107.4","116.2"
"Spencer Dinwiddie","Lal","G","31","28","24.2","12.2","17","50","0.88","51","0.412","90","0.389","0.521","0.586","6.8","1.7","2.4","0.5","0.5","1","8.5","9.3","10.9","5","113.1","112.8"
"Marcus Morris Sr.","Phi","F","34.6","37","17.2","16.3","8.5","36","0.861","115","0.47","90","0.4","0.527","0.559","6.7","2.9","0.7","0.4","0.3","0.5","9.6","7.4","10.3","5.6","112.2","108.1"
"Peyton Watson","Den","G","21.6","80","18.6","16.2","11.5","106","0.67","296","0.551","152","0.296","0.515","0.538","6.7","3.2","1.1","0.5","1.1","0.7","9.9","7.7","11","6.2","107.8","106.9"
"Ochai Agbaji","Tor","G","24","27","23.6","15.4","14","36","0.611","115","0.496","69","0.217","0.432","0.453","6.7","3.3","1.3","0.7","0.6","1.1","10","8","11.4","5.2","94.6","115.2"
"Jahmi'us Ramsey","Tor","G","22.9","7","17.3","17.8","14.5","6","0.833","19","0.632","22","0.273","0.512","0.538","6.7","3.1","1.1","1","0","1","9.9","7.9","11","6.6","101.6","111.5"
"Dennis Smith Jr.","Bro","G","26.4","56","18.9","17.7","16.7","58","0.741","229","0.502","109","0.294","0.482","0.508","6.6","2.9","3.6","1.2","0.2","1.2","9.5","10.2","13.1","8.7","110.1","105.9"
"Aaron Holiday","Hou","G","27.5","78","16.3","16.7","11.3","62","0.935","200","0.51","217","0.387","0.547","0.578","6.6","1.6","1.8","0.5","0.1","0.7","8.2","8.4","10","6.5","117","108.4"
"Amir Coffey","Lac","G-F","26.8","70","20.9","12.5","8.6","71","0.859","168","0.571","184","0.38","0.571","0.604","6.6","2.1","1.1","0.6","0.2","0.5","8.7","7.7","9.8","4.7","122","113.4"
"Jeff Green","Hou","F","37.6","78","16.8","15.5","11.2","149","0.819","206","0.553","160","0.331","0.529","0.59","6.5","2.3","0.9","0.2","0.4","0.6","8.8","7.4","9.7","5.7","118.7","111.4"
"Alec Burks","Nyk","G","32.7","23","13.5","26.9","8.9","33","0.727","80","0.313","83","0.301","0.383","0.42","6.5","1.7","0.9","0.3","0","0.7","8.2","7.3","9.1","6.4","91.6","114.3"
"David Duke Jr.","San","G","24.5","4","12.9","18.3","14","3","1","12","0.583","6","0.5","0.639","0.673","6.5","2.5","1.3","0.5","0","0.8","9","7.8","10.3","8.6","121.9","111.2"
"Kyle Anderson","Min","F-G","30.6","79","22.6","14.5","17.4","137","0.708","385","0.488","48","0.229","0.472","0.513","6.4","3.5","4.2","0.9","0.6","1.2","9.9","10.6","14.1","8","114.4","105.2"
"Chris Boucher","Tor","F-C","31.3","50","14.1","17.3","11.4","92","0.772","123","0.642","94","0.33","0.578","0.625","6.4","4.1","0.5","0.3","0.5","0.6","10.6","6.9","11","6.7","122.9","110.4"
"Isaiah Jackson","Ind","F","22.3","60","12.8","17.2","14.3","102","0.716","229","0.677","4","0","0.665","0.689","6.4","4","0.8","0.6","1","0.7","10.4","7.2","11.2","8.5","134","101.5"
"Patrick Beverley","Phi","G","35.8","47","19.6","14.9","16.9","63","0.81","132","0.523","109","0.321","0.504","0.547","6.3","3.1","3.1","0.5","0.4","1","9.3","9.3","12.4","8","114.7","109"
"Daniel Theis","Lac","F-C","32","59","17.1","15.4","12.7","50","0.76","219","0.589","70","0.371","0.581","0.601","6.3","4.1","1","0.4","0.9","0.7","10.5","7.4","11.5","6.9","121.3","105.2"
"Bruno Fernando","Atl","F-C","25.7","45","15.2","16.7","19","96","0.667","183","0.596","4","0","0.583","0.615","6.3","4.3","1","0.6","0.6","1","10.6","7.3","11.6","7.9","116.8","103.7"
"Jared Butler","Was","G","23.6","40","14.1","19.9","19.9","36","0.861","123","0.602","78","0.308","0.547","0.579","6.3","1.5","3.2","0.7","0.2","1.3","7.7","9.4","10.9","8.8","110.8","113.4"
"Skylar Mays","Por","G","26.6","21","17","19.5","11.5","17","0.765","89","0.438","49","0.286","0.435","0.457","6.3","1.8","3.6","0.7","0.1","0.9","8.1","9.9","11.7","8.1","106.8","116.8"
"Jae Crowder","Mil","F","33.8","50","23.1","11.5","7.8","36","0.722","104","0.538","166","0.349","0.53","0.546","6.2","3.2","1.3","0.8","0.2","0.5","9.5","7.6","10.8","5.1","114.4","112.6"
"Cameron Payne","Mil","G","29.7","47","14.9","16.7","12.2","44","0.841","91","0.538","131","0.397","0.572","0.603","6.2","1.3","2.3","0.5","0.1","0.7","7.5","8.5","9.8","7.1","122.2","109.2"
"Keon Johnson","Bro","G","22.1","5","12.3","22.1","18.9","12","0.917","11","0.364","10","0.4","0.476","0.59","6.2","1.4","0.6","0.6","0.2","1","7.6","6.8","8.2","5.6","110.2","111.8"
"Ben Simmons","Bro","G","27.7","15","23.9","13","26.7","15","0.4","74","0.581","0","0","0.581","0.571","6.1","7.9","5.7","0.8","0.6","1.8","14.1","11.9","19.8","10.9","120.2","105.2"
"Haywood Highsmith","Mia","F","27.3","66","20.7","12.4","9.4","36","0.639","137","0.562","192","0.396","0.581","0.587","6.1","3.2","1.1","0.8","0.5","0.5","9.3","7.2","10.4","5.4","118.2","106"
"Kris Murray","Por","F","23.7","62","21.7","14.1","13.1","56","0.661","183","0.525","183","0.268","0.463","0.481","6.1","3.6","1.3","0.9","0.3","0.9","9.7","7.4","11","5.6","101.9","114.7"
"Vit Krejci","Atl","G","23.8","22","24.6","9.7","16.1","6","0.833","36","0.639","68","0.412","0.625","0.633","6.1","2.4","2.3","0.6","0.3","0.9","8.5","8.4","10.8","5.3","121.6","115.3"
"Doug McDermott","San","F","32.3","46","15.2","14.9","10","17","0.588","42","0.452","173","0.439","0.619","0.62","6","1","1.2","0.2","0","0.5","7","7.2","8.3","5.1","116","116.2"
"Xavier Tillman","Mem","C","25.3","34","20.6","16","12","43","0.419","160","0.469","53","0.226","0.437","0.44","6","4.6","1.7","1.2","1","0.9","10.6","7.7","12.3","7","97.8","107.4"
"Patrick Beverley","Mil","G","35.8","26","20.9","13.2","10.4","27","0.852","66","0.424","72","0.361","0.486","0.524","6","3.6","2.6","0.7","0.5","0.6","9.7","8.7","12.3","7.3","117.9","109.7"
"Zavier Simpson","Mem","G","27.2","7","23.1","17.5","15.5","4","0.75","37","0.324","17","0.294","0.361","0.377","6","2.9","3.6","1","0.4","1.4","8.9","9.6","12.4","6.9","86.6","111.8"
"Nick Smith Jr.","Cha","G","20","51","14.3","20.3","11.9","15","0.867","143","0.35","146","0.432","0.5","0.511","5.9","1.4","1.2","0.2","0.1","0.8","7.3","7.1","8.5","6","98.8","118"
"Justin Champagnie","Was","G-F","22.8","15","15.7","17","11.3","15","0.8","33","0.576","45","0.289","0.494","0.526","5.9","3.5","1.3","0.7","0.6","0.7","9.5","7.2","10.7","7.6","110.2","116.7"
"Dyson Daniels","Nor","G","21.1","61","22.3","12.6","15.9","53","0.642","176","0.551","135","0.311","0.514","0.529","5.8","3.9","2.7","1.4","0.4","1","9.7","8.5","12.4","7.1","112.9","106.9"
"Noah Clowney","Bro","F","19.8","23","16.1","14.2","13.8","30","0.7","60","0.633","33","0.364","0.602","0.626","5.8","3.5","0.8","0.3","0.7","0.7","9.3","6.6","10.1","6.3","121.4","112.5"
"Patty Mills","Mia","G","35.7","13","16.4","19.4","9","11","1","27","0.593","53","0.208","0.406","0.448","5.8","1.2","1.5","0.8","0","0.6","7","7.4","8.5","5.3","96.3","108.4"
"Marcus Morris Sr.","Cle","F","34.6","12","15","18","15.7","8","0.625","30","0.467","29","0.414","0.542","0.552","5.8","2.1","0.8","0.2","0.2","0.9","7.8","6.6","8.7","5.7","99.9","110.7"
"Larry Nance Jr.","Nor","F-C","31.3","61","19.9","11.3","16.9","61","0.77","176","0.631","65","0.415","0.629","0.653","5.7","5","1.9","1","0.3","0.8","10.8","7.6","12.6","7.6","130.3","105.6"
"Thomas Bryant","Mia","C-F","26.7","38","11.6","19.3","12.3","47","0.872","127","0.646","22","0.182","0.591","0.639","5.7","3.7","0.6","0.3","0.4","0.6","9.4","6.3","10","8","124.5","101.6"
"Torrey Craig","Chi","F","33.3","53","19.8","12.5","11.3","36","0.75","98","0.49","153","0.392","0.55","0.568","5.7","4.1","1.1","0.6","0.4","0.6","9.8","6.8","10.9","6","118","108.4"
"Jaylen Nowell","Mem","G","24.8","9","17.4","16.9","8.3","3","1","32","0.563","23","0.174","0.436","0.453","5.7","1.6","1.8","0.3","0","0.6","7.2","7.4","9","5.8","98.8","112.5"
"Pat Connaughton","Mil","G","31.3","76","22.1","10.8","12.4","58","0.759","109","0.633","238","0.345","0.553","0.574","5.6","3.1","2.1","0.5","0.3","0.6","8.8","7.8","10.9","6","120.4","113.7"
"Mitchell Robinson","Nyk","C","26","31","24.8","10.2","17","66","0.409","127","0.575","0","0","0.575","0.554","5.6","8.5","0.6","1.2","1.1","0.8","14.1","6.2","14.6","4.9","122.6","106.8"
"Craig Porter","Cle","G","24.1","51","12.7","20.2","16.5","56","0.732","194","0.536","34","0.353","0.535","0.564","5.6","2.1","2.3","0.4","0.3","0.9","7.7","7.9","10","9.5","113.7","109.8"
"Nicolas Batum","Phi","G-F","35.3","57","25.9","8.7","13.6","21","0.714","70","0.6","178","0.399","0.599","0.606","5.5","4.2","2.2","0.8","0.6","0.7","9.7","7.6","11.9","5.7","126.1","111.2"
"Gary Payton II","Gol","G","31.4","44","15.5","13.6","12.8","23","0.609","128","0.648","55","0.364","0.617","0.621","5.5","2.6","1.1","0.9","0.4","0.6","8","6.5","9.1","6.5","122","106.1"
"Neemias Queta","Bos","C","24.8","28","11.9","16.9","11.1","28","0.714","104","0.644","0","0","0.644","0.662","5.5","4.4","0.7","0.5","0.8","0.5","9.9","6.2","10.6","8.6","137.6","96.1"
"Dexter Dennis","Dal","G","25.2","4","7.5","33.4","13.5","3","0.333","11","0.818","8","0.125","0.553","0.541","5.5","2.3","1","0","0.3","0.8","7.8","6.5","8.8","12.4","100.2","113.3"
"Alex Fudge","Dal","F","20.9","2","12.9","16.6","10","0","0","6","0.667","3","0.333","0.611","0.611","5.5","1.5","0","1.5","0","0.5","7","5.5","7","0","113.6","112.6"
"Kris Dunn","Uta","G","30.1","66","18.9","13.6","20.1","32","0.688","202","0.525","111","0.369","0.535","0.546","5.4","2.9","3.8","1","0.4","1.2","8.3","9.3","12.1","8.3","115.7","111.3"
"Sasha Vezenkov","Sac","F","28.7","42","12.2","17.5","5.9","15","0.8","71","0.549","120","0.375","0.558","0.569","5.4","2.3","0.5","0.5","0.2","0.3","7.6","5.8","8.1","6","116.2","109.8"
"Cam Reddish","Lal","F-G","24.6","48","20.5","12.7","11.7","54","0.759","124","0.435","110","0.336","0.468","0.504","5.4","2.1","1","1","0.3","0.6","7.5","6.4","8.5","4.4","101.9","112.1"
"Matisse Thybulle","Por","F","27.1","65","22.9","10.6","11.2","29","0.759","86","0.535","231","0.346","0.524","0.537","5.4","2.1","1.4","1.7","0.8","0.6","7.5","6.8","8.9","4.4","110.5","114"
"Dean Wade","Cle","F","27.4","54","20.5","10.5","7.9","26","0.769","30","0.567","202","0.391","0.584","0.598","5.4","4","0.8","0.7","0.5","0.4","9.4","6.2","10.2","5","120.4","106.2"
"Matt Ryan","Nor","F","27","28","13.9","15.4","14.3","14","0.929","22","0.364","91","0.451","0.615","0.638","5.4","1.4","0.6","0.2","0","0.7","6.9","6.1","7.5","4.8","113.5","110.2"
"Ochai Agbaji","Uta","G","24","51","19.7","12.2","12","20","0.75","107","0.551","142","0.331","0.52","0.531","5.4","2.5","0.9","0.5","0.6","0.7","7.8","6.3","8.8","4.7","106.7","118.2"
"Keon Ellis","Sac","G","24.3","57","17.2","12.4","13.7","35","0.743","64","0.578","168","0.417","0.612","0.627","5.4","2.2","1.5","0.9","0.5","0.6","7.6","6.9","9.1","6.1","121.7","106.1"
"Ricky Council IV","Phi","G","22.7","32","9","22.2","4.3","71","0.746","80","0.525","32","0.375","0.536","0.604","5.4","1.4","0.5","0.3","0","0.2","6.8","5.9","7.3","6.9","129","112.9"
"Delon Wright","Mia","G","32","14","20.4","11.9","4.3","16","0.813","36","0.417","30","0.367","0.477","0.52","5.4","1.9","2.6","1.4","0.2","0.2","7.4","8.1","10","5.9","124.1","110.8"
"Mason Plumlee","Lac","F-C","34.1","46","14.7","15.1","19","99","0.707","147","0.592","6","0","0.569","0.621","5.3","5.1","1.2","0.3","0.4","0.8","10.4","6.5","11.6","8.7","124.1","104.9"
"Luke Kornet","Bos","C-F","28.8","63","15.6","11","9.4","54","0.907","202","0.698","1","1","0.702","0.736","5.3","4.1","1.1","0.4","1","0.3","9.4","6.4","10.5","7.4","155.5","106.8"
"Davion Mitchell","Sac","G","25.6","72","15.3","14.9","11.7","42","0.714","165","0.539","158","0.361","0.54","0.555","5.3","1.3","1.9","0.2","0","0.6","6.6","7.1","8.4","6.2","114.3","113.5"
"Stanley Umude","Det","G","25","24","12.8","15.6","14.2","32","0.906","31","0.419","53","0.453","0.583","0.647","5.3","2.1","0.5","0.3","0.3","0.6","7.4","5.8","7.9","5.5","119.5","108.3"
"Gordon Hayward","Okc","F","34.1","26","17.2","13.4","12.4","39","0.692","77","0.429","29","0.517","0.524","0.56","5.3","2.5","1.6","0.5","0","0.6","7.8","6.9","9.4","6.4","116.7","113.1"
"Quentin Grimes","Det","G","23.9","6","19.2","19.9","14.2","11","0.909","14","0.357","28","0.143","0.262","0.342","5.3","2","2.3","0.8","0.7","1.2","7.3","7.7","9.7","6","78.4","114.1"
"Bismack Biyombo","Mem","C","31.6","30","23.9","10.6","24.2","46","0.478","119","0.563","0","0","0.563","0.56","5.2","6.4","1.7","0.3","1.1","1.3","11.6","6.9","13.3","6.4","107.7","105.6"
"Jarred Vanderbilt","Lal","F","25","29","20","11.7","19.7","36","0.667","87","0.586","27","0.296","0.553","0.578","5.2","4.8","1.2","1.2","0.2","1","9.9","6.4","11.2","6.2","113.1","107.9"
"Bol Bol","Pho","C-F","24.4","43","10.9","16.5","11.2","19","0.789","99","0.717","52","0.423","0.689","0.7","5.2","3.2","0.4","0.2","0.6","0.4","8.4","5.6","8.8","6.9","129.1","106.5"
"Jordan Nwora","Ind","F","25.6","18","10.1","22.7","12.7","11","0.818","46","0.565","36","0.306","0.518","0.541","5.2","1.8","1","0.3","0.1","0.7","7.1","6.2","8.1","8.3","105.7","111.7"
"Brandon Boston Jr.","Lac","G","22.4","32","10.8","25.3","13","33","0.697","109","0.468","52","0.269","0.447","0.476","5.2","1.6","0.4","0.3","0.3","0.8","6.8","5.6","7.3","5.5","93.3","107.6"
"Drew Eubanks","Pho","F-C","27.2","75","15.6","13.2","19.4","93","0.774","250","0.596","3","1","0.607","0.645","5.1","4.3","0.8","0.4","0.8","0.8","9.3","5.9","10.2","6.7","122.4","106.5"
"Malachi Flynn","Tor","G","25.9","31","15.3","16.2","19.4","22","0.773","57","0.491","80","0.35","0.511","0.535","5.1","2.1","2.4","0.6","0.2","1.1","7.2","7.4","9.5","7.7","105.4","113.1"
"Bryce McGowens","Cha","G","21.4","59","14.9","14.9","11.5","85","0.776","128","0.523","102","0.333","0.513","0.565","5.1","1.7","0.9","0.4","0.2","0.5","6.8","6","7.7","5.3","111.4","115.8"
"Monte Morris","Min","G","28.8","27","15.1","14.4","4","17","0.706","61","0.41","59","0.424","0.521","0.537","5.1","1.7","2.3","0.7","0.3","0.2","6.7","7.3","9","7.2","124.8","110.1"
"Thaddeus Young","Tor","F","35.8","23","15.2","12.6","11.2","12","0.417","81","0.654","6","0.167","0.626","0.618","5","3.3","2.2","0.8","0.1","0.5","8.2","7.1","10.4","8.7","131.5","109.5"
"Jevon Carter","Chi","G","28.6","72","13.9","17.7","9","7","0.571","131","0.466","234","0.329","0.484","0.485","5","0.8","1.3","0.5","0.2","0.5","5.8","6.3","7.1","5","101.3","114.6"
"Devonte' Graham","San","G","29.1","23","13.6","17.8","13.6","16","0.813","25","0.52","83","0.301","0.468","0.495","5","1.6","2.1","0.4","0.1","0.7","6.5","7.1","8.7","7.5","103.7","116.8"
"Chimezie Metu","Pho","F-C","27.1","37","12.1","17","17.2","43","0.884","79","0.646","51","0.294","0.565","0.621","5","3","0.5","0.5","0.2","0.7","8","5.5","8.5","6.5","114.6","106.6"
